web_indexada,ssl_vigencia,coincide_cn_con_url,obtener_edad_dominio,https_en_url,es_direccion_ip,tiene_sufijo_valido,tiene_redireccion,tiene_arroba_en_url,tiene_formulario_blank,es_favicon_externo,tiene_metadatos,result
1,0,1,0,0,0,1,0,0,0,0,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,1,0,1
0,1,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1
1,0,1,0,0,0,1,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,1
1,1,0,1,0,0,1,0,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,1
1,1,0,1,0,0,1,1,0,1,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0,0,1
1,0,1,1,1,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,0,1
